# DatScan(filename: C:\Users\dgpor\Dropbox\Python\ExamplePeaks\393973.dat, namespace: 188, associations: 12)
# 393973.dat
# eta,roi1_sum,error
28.0351, 643.0, 25.37715508089904
28.0401, 656.0, 25.632011235952593
28.0451, 812.0, 28.513154858766505
28.0501, 846.0, 29.103264421710495
28.0551, 869.0, 29.49576240750525
28.0601, 986.0, 31.416556144810016
28.0651, 1038.0, 32.2335229225724
28.0701, 1078.0, 32.848135411313685
28.0751, 1102.0, 33.21144381083123
28.0801, 1239.0, 35.21363372331802
28.0851, 1321.0, 36.359317925395686
28.0901, 1441.0, 37.97367509209505
28.0951, 1482.0, 38.50973902793941
28.1001, 1500.0, 38.742741255621034
28.1051, 1527.0, 39.08964057138413
28.1101, 1803.0, 42.473521163190604
28.1151, 1874.0, 43.30127018922193
28.1201, 1839.0, 42.89522117905443
28.1251, 2074.0, 45.552167895721496
28.1301, 2234.0, 47.275786614291256
28.1351, 2349.0, 48.47679857416329
28.1401, 2462.0, 49.628620774710235
28.1451, 2665.0, 51.633322573702344
28.1501, 2764.0, 52.583267300539625
28.1551, 2891.0, 53.777318638995006
28.1601, 3004.0, 54.817880294662984
28.1651, 3127.0, 55.92852581643825
28.1701, 3426.0, 58.540584213005594
28.1751, 3665.0, 60.54750201288241
28.1801, 3917.0, 62.5939294181153
28.1851, 3938.0, 62.76145313805282
28.1901, 4222.0, 64.98461356351979
28.1951, 4527.0, 67.29041536504289
28.2001, 4842.0, 69.59166616772443
28.2051, 5177.0, 71.95832127002409
28.2101, 5510.0, 74.23610981186985
28.2151, 5895.0, 76.78541528180986
28.2201, 6183.0, 78.63841300535
28.2251, 6787.0, 82.38931969618392
28.2301, 7234.0, 85.05880318932309
28.2351, 7775.0, 88.18163074019441
28.2401, 8206.0, 90.59249417032296
28.2451, 8848.0, 94.06912352095134
28.2501, 9651.0, 98.24459272652109
28.2551, 10567.0, 102.80077820717118
28.2601, 11341.0, 106.49882628461216
28.2651, 11947.0, 109.30690737551767
28.2701, 13081.0, 114.37657102746174
28.2751, 14428.0, 120.12077255828818
28.2801, 15845.0, 125.88089608832628
28.2851, 17515.0, 132.34802605252563
28.2901, 18959.0, 137.69531582446805
28.2951, 20716.0, 143.93401265857906
28.3001, 23676.0, 153.87332452377834
28.3051, 27140.0, 164.74525789836866
28.3101, 31373.0, 177.12707302950614
28.3151, 36488.0, 191.02094126037596
28.3201, 42633.0, 206.48002324680226
28.3251, 51442.0, 226.81049358440185
28.3301, 62156.0, 249.31305621647655
28.3351, 77813.0, 278.95160870659987
28.3401, 97573.0, 312.3683722786287
28.3451, 126308.0, 355.39977490144815
28.3501, 143257.0, 378.4943856915186
28.3551, 132662.0, 364.2293233664747
28.3601, 116109.0, 340.74917461382057
28.3651, 92945.0, 304.8704642959039
28.3701, 75382.0, 274.5596474356711
28.3751, 62988.0, 250.9760944791356
28.3801, 53961.0, 232.29722340140012
28.3851, 45895.0, 214.23351745233518
28.3901, 40371.0, 200.92784774639875
28.3951, 35859.0, 189.36736783300339
28.4001, 32238.0, 179.552220816118
28.4051, 28848.0, 169.84993376507393
28.4101, 26390.0, 162.45307014642722
28.4151, 24732.0, 157.26728839781018
28.4201, 22750.0, 150.8343462212768
28.4251, 20806.0, 144.24631711069785
28.4301, 19366.0, 139.16536925542934
28.4351, 17877.0, 133.70863846438644
