# DatScan(filename: C:\Users\dgpor\Dropbox\Python\ExamplePeaks\387276.dat, namespace: 170, associations: 12)
# 387276.dat
# eta,roi1_sum,error
33.7291, -2.0, 1.7320508075688772
33.7391, -2.0, 1.7320508075688772
33.7491, -1.0, 1.4142135623730951
33.7591, -2.0, 1.7320508075688772
33.7691, -2.0, 1.7320508075688772
33.7791, -1.0, 1.4142135623730951
33.7891, -1.0, 1.4142135623730951
33.7991, -1.0, 1.4142135623730951
33.8091, -2.0, 1.7320508075688772
33.8191, -2.0, 1.7320508075688772
33.8291, -1.0, 1.4142135623730951
33.8391, -1.0, 1.4142135623730951
33.8491, -1.0, 1.4142135623730951
33.8591, -1.0, 1.4142135623730951
33.8691, 1.0, 1.4142135623730951
33.8791, 2.0, 1.7320508075688772
33.8891, -1.0, 1.4142135623730951
33.8991, 0.0, 1.0
33.9091, -2.0, 1.7320508075688772
33.9191, 2.0, 1.7320508075688772
33.9291, 1.0, 1.4142135623730951
33.9391, 6.0, 2.6457513110645907
33.9491, 7.0, 2.8284271247461903
33.9591, 12.0, 3.605551275463989
33.9691, 23.0, 4.898979485566356
33.9791, 42.0, 6.557438524302
33.9891, 60.0, 7.810249675906654
33.9991, 87.0, 9.38083151964686
34.0091, 170.0, 13.076696830622021
34.0191, 408.0, 20.223748416156685
34.0291, 321.0, 17.944358444926362
34.0391, 141.0, 11.916375287812984
34.0491, 61.0, 7.874007874011811
34.0591, 40.0, 6.4031242374328485
34.0691, 22.0, 4.795831523312719
34.0791, 11.0, 3.4641016151377544
34.0891, 9.0, 3.1622776601683795
34.0991, 9.0, 3.1622776601683795
34.1091, 4.0, 2.23606797749979
34.1191, 2.0, 1.7320508075688772
34.1291, 0.0, 1.0
34.1391, 2.0, 1.7320508075688772
34.1491, -1.0, 1.4142135623730951
34.1591, 1.0, 1.4142135623730951
34.1691, 0.0, 1.0
34.1791, -2.0, 1.7320508075688772
34.1891, -2.0, 1.7320508075688772
34.1991, 1.0, 1.4142135623730951
34.2091, -1.0, 1.4142135623730951
34.2191, -1.0, 1.4142135623730951
34.2291, -1.0, 1.4142135623730951
34.2391, 1.0, 1.4142135623730951
34.2491, 0.0, 1.0
34.2591, -2.0, 1.7320508075688772
34.2691, 0.0, 1.0
34.2791, 1.0, 1.4142135623730951
34.2891, -2.0, 1.7320508075688772
34.2991, -2.0, 1.7320508075688772
34.3091, 1.0, 1.4142135623730951
34.3191, 0.0, 1.0
34.3291, -2.0, 1.7320508075688772
