# DatScan(filename: C:\Users\dgpor\Dropbox\Python\ExamplePeaks\387091.dat, namespace: 170, associations: 12)
# 387091.dat
# eta,roi1_sum,error
18.8205, 0.0, 1.0
18.8305, 2.0, 1.7320508075688772
18.8405, 3.0, 2.0
18.8505, 4.0, 2.23606797749979
18.8605, 6.0, 2.6457513110645907
18.8705, 2.0, 1.7320508075688772
18.8805, 2.0, 1.7320508075688772
18.8905, 6.0, 2.6457513110645907
18.9005, 3.0, 2.0
18.9105, 13.0, 3.7416573867739413
18.9205, 15.0, 4.0
18.9305, 11.0, 3.4641016151377544
18.9405, 12.0, 3.605551275463989
18.9505, 20.0, 4.58257569495584
18.9605, 22.0, 4.795831523312719
18.9705, 24.0, 5.0
18.9805, 36.0, 6.082762530298219
18.9905, 38.0, 6.244997998398398
19.0005, 37.0, 6.164414002968976
19.0105, 53.0, 7.3484692283495345
19.0205, 71.0, 8.48528137423857
19.0305, 109.0, 10.488088481701515
19.0405, 124.0, 11.180339887498949
19.0505, 167.0, 12.96148139681572
19.0605, 213.0, 14.628738838327793
19.0705, 287.0, 16.97056274847714
19.0805, 374.0, 19.364916731037084
19.0905, 584.0, 24.186773244895647
19.1005, 800.0, 28.30194339616981
19.1105, 1261.0, 35.52463933666322
19.1205, 1717.0, 41.44876355212541
19.1305, 1534.0, 39.179076048319466
19.1405, 1061.0, 32.58834147360065
19.1505, 696.0, 26.40075756488817
19.1605, 474.0, 21.79449471770337
19.1705, 351.0, 18.76166303929372
19.1805, 271.0, 16.492422502470642
19.1905, 210.0, 14.52583904633395
19.2005, 146.0, 12.12435565298214
19.2105, 117.0, 10.862780491200215
19.2205, 81.0, 9.055385138137417
19.2305, 71.0, 8.48528137423857
19.2405, 58.0, 7.681145747868608
19.2505, 45.0, 6.782329983125268
19.2605, 36.0, 6.082762530298219
19.2705, 29.0, 5.477225575051661
19.2805, 36.0, 6.082762530298219
19.2905, 30.0, 5.5677643628300215
19.3005, 15.0, 4.0
19.3105, 19.0, 4.47213595499958
19.3205, 14.0, 3.872983346207417
19.3305, 6.0, 2.6457513110645907
19.3405, 9.0, 3.1622776601683795
19.3505, 13.0, 3.7416573867739413
19.3605, 5.0, 2.449489742783178
19.3705, 6.0, 2.6457513110645907
19.3805, 12.0, 3.605551275463989
19.3905, 2.0, 1.7320508075688772
19.4005, 2.0, 1.7320508075688772
19.4105, 4.0, 2.23606797749979
19.4205, 1.0, 1.4142135623730951
