# DatScan(filename: C:\Users\dgpor\Dropbox\Python\ExamplePeaks\393922.dat, namespace: 188, associations: 12)
# 393922.dat
# eta,roi1_sum,error
38.0851, 0.0, 1.0
38.0901, -2.0, 1.7320508075688772
38.0951, 0.0, 1.0
38.1001, -1.0, 1.4142135623730951
38.1051, -2.0, 1.7320508075688772
38.1101, 1.0, 1.4142135623730951
38.1151, 0.0, 1.0
38.1201, 1.0, 1.4142135623730951
38.1251, 0.0, 1.0
38.1301, -1.0, 1.4142135623730951
38.1351, 0.0, 1.0
38.1401, 2.0, 1.7320508075688772
38.1451, 5.0, 2.449489742783178
38.1501, 1.0, 1.4142135623730951
38.1551, 0.0, 1.0
38.1601, 1.0, 1.4142135623730951
38.1651, 0.0, 1.0
38.1701, 1.0, 1.4142135623730951
38.1751, -2.0, 1.7320508075688772
38.1801, 0.0, 1.0
38.1851, 0.0, 1.0
38.1901, 1.0, 1.4142135623730951
38.1951, 3.0, 2.0
38.2001, -1.0, 1.4142135623730951
38.2051, 2.0, 1.7320508075688772
38.2101, -2.0, 1.7320508075688772
38.2151, 0.0, 1.0
38.2201, 4.0, 2.23606797749979
38.2251, -1.0, 1.4142135623730951
38.2301, -1.0, 1.4142135623730951
38.2351, 0.0, 1.0
38.2401, 0.0, 1.0
38.2451, 4.0, 2.23606797749979
38.2501, 4.0, 2.23606797749979
38.2551, 4.0, 2.23606797749979
38.2601, 1.0, 1.4142135623730951
38.2651, 3.0, 2.0
38.2701, 3.0, 2.0
38.2751, 4.0, 2.23606797749979
38.2801, 8.0, 3.0
38.2851, 9.0, 3.1622776601683795
38.2901, 18.0, 4.358898943540674
38.2951, 40.0, 6.4031242374328485
38.3001, 80.0, 9.0
38.3051, 33.0, 5.830951894845301
38.3101, 19.0, 4.47213595499958
38.3151, 13.0, 3.7416573867739413
38.3201, 10.0, 3.3166247903554
38.3251, 4.0, 2.23606797749979
38.3301, 10.0, 3.3166247903554
38.3351, 5.0, 2.449489742783178
38.3401, 4.0, 2.23606797749979
38.3451, 12.0, 3.605551275463989
38.3501, -1.0, 1.4142135623730951
38.3551, 9.0, 3.1622776601683795
38.3601, 6.0, 2.6457513110645907
38.3651, 6.0, 2.6457513110645907
38.3701, 4.0, 2.23606797749979
38.3751, 5.0, 2.449489742783178
38.3801, 5.0, 2.449489742783178
38.3851, 3.0, 2.0
38.3901, 2.0, 1.7320508075688772
38.3951, 2.0, 1.7320508075688772
38.4001, 5.0, 2.449489742783178
38.4051, 2.0, 1.7320508075688772
38.4101, 9.0, 3.1622776601683795
38.4151, 5.0, 2.449489742783178
38.4201, 5.0, 2.449489742783178
38.4251, 3.0, 2.0
38.4301, 3.0, 2.0
38.4351, 2.0, 1.7320508075688772
38.4401, 4.0, 2.23606797749979
38.4451, -1.0, 1.4142135623730951
38.4501, -1.0, 1.4142135623730951
38.4551, 5.0, 2.449489742783178
38.4601, -1.0, 1.4142135623730951
38.4651, 6.0, 2.6457513110645907
38.4701, -1.0, 1.4142135623730951
38.4751, 5.0, 2.449489742783178
38.4801, 0.0, 1.0
38.4851, 2.0, 1.7320508075688772
