# HdfScan(filename: C:\Users\dgpor\OneDrive - Diamond Light Source Ltd\I16\Nexus_Format\example_nexus\794939.nxs, namespace: 7, associations: 13)
# 794939.nxs
# eta,roi2_sum,error
29.710626822876122, 16834.0, 129.74975915199227
29.720626822876113, 17929.0, 133.90294993016397
29.73062682287612, 19118.0, 138.27147211192914
29.740626822876123, 20776.0, 144.14229081015745
29.750626822876114, 22830.0, 151.099305094365
29.76062682287612, 25624.0, 160.0781059358212
29.770626822876125, 29730.0, 172.4267960614011
29.780626822876116, 34797.0, 186.54222042208033
29.79062682287612, 41070.0, 202.65981348062078
29.800626822876126, 49559.0, 222.62075374951007
29.810626822876117, 60586.0, 246.1442666405212
29.82062682287612, 74716.0, 273.34410547879025
29.830626822876113, 97861.0, 312.82902678619837
29.840626822876118, 121996.0, 349.2806894175514
29.850626822876123, 153861.0, 392.25246971816506
29.860626822876114, 197468.0, 444.3748417721237
29.87062682287612, 247811.0, 497.8071915912827
29.880626822876124, 332426.0, 576.5648272310756
29.890626822876115, 468871.0, 684.7422872877065
29.90062682287612, 728956.0, 853.7897867742387
29.910626822876125, 1129215.0, 1062.645754708501
29.920626822876116, 1745989.0, 1321.3591487555532
29.93062682287612, 2219332.0, 1489.742595215697
29.940626822876112, 2670223.0, 1634.0820052861484
29.950626822876117, 3201944.0, 1789.3979434435482
29.960626822876122, 3866941.0, 1966.4541693108436
29.970626822876113, 3638044.0, 1907.3659848073205
29.98062682287612, 3222527.0, 1795.140105952736
29.990626822876123, 2662178.0, 1631.6185215913677
30.000626822876114, 2136565.0, 1461.6996955599327
30.01062682287612, 1759613.0, 1326.5044289409666
30.020626822876125, 1552566.0, 1246.020465321497
30.030626822876116, 1442666.0, 1201.1107359440261
30.04062682287612, 1350749.0, 1162.2177076606604
30.050626822876126, 1386850.0, 1177.646381559422
30.060626822876117, 1371940.0, 1171.298851702673
30.07062682287612, 1352147.0, 1162.81898849305
30.080626822876113, 1472630.0, 1213.520086360337
30.090626822876118, 1469627.0, 1212.282145377057
30.100626822876123, 1109303.0, 1053.2350165086614
30.110626822876114, 841503.0, 917.3352713157824
30.12062682287612, 637267.0, 798.2906738776296
30.130626822876124, 459272.0, 677.6968348753003
30.140626822876115, 338146.0, 581.5040842504892
30.15062682287612, 260890.0, 510.77490149771455
30.160626822876125, 202720.0, 450.2454885948331
30.170626822876116, 159824.0, 399.78119015281345
30.18062682287612, 131245.0, 362.27889808819947
30.190626822876112, 106565.0, 326.4444822630641
30.200626822876117, 86420.0, 293.97448868906974
30.210626822876122, 71994.0, 268.3188401883103
30.220626822876113, 59722.0, 244.38289629186409
30.23062682287612, 49852.0, 223.2778538055219
30.240626822876123, 41499.0, 203.71548787463362
30.250626822876114, 34886.0, 186.78061997969704
30.26062682287612, 29378.0, 171.40303381212365
30.270626822876125, 24462.0, 156.40652160316077
30.280626822876116, 21210.0, 145.6399670420177
30.29062682287612, 18527.0, 136.11759621738844
30.300626822876126, 15732.0, 125.4312560727987
30.310626822876117, 14077.0, 118.6507479959566
