# HdfScan(filename: C:\Users\dgpor\OneDrive - Diamond Light Source Ltd\I16\Nexus_Format\example_nexus\794942.nxs, namespace: 7, associations: 13)
# 794942.nxs
# eta,roi2_sum,error
29.710626822876122, 252.0, 15.905973720586866
29.720626822876113, 244.0, 15.652475842498529
29.73062682287612, 253.0, 15.937377450509228
29.740626822876123, 241.0, 15.556349186104045
29.750626822876114, 283.0, 16.852299546352718
29.76062682287612, 284.0, 16.881943016134134
29.770626822876125, 335.0, 18.33030277982336
29.780626822876116, 339.0, 18.439088914585774
29.79062682287612, 392.0, 19.82422760159901
29.800626822876126, 451.0, 21.2602916254693
29.810626822876117, 527.0, 22.978250586152114
29.82062682287612, 661.0, 25.729360660537214
29.830626822876113, 809.0, 28.460498941515414
29.840626822876118, 1003.0, 31.68595903550972
29.850626822876123, 1288.0, 35.90264614203248
29.860626822876114, 1585.0, 39.824615503479755
29.87062682287612, 1868.0, 43.23193264243457
29.880626822876124, 2514.0, 50.149775672479336
29.890626822876115, 3364.0, 58.008620049092706
29.90062682287612, 4896.0, 69.97856814768362
29.910626822876125, 6897.0, 83.05419917138447
29.920626822876116, 9459.0, 97.26253132630262
29.93062682287612, 11296.0, 106.28734637763802
29.940626822876112, 13385.0, 115.69788243524597
29.950626822876117, 16643.0, 129.0116273829611
29.960626822876122, 21640.0, 147.10880327159214
29.970626822876113, 23800.0, 154.27572718998928
29.98062682287612, 23461.0, 153.17310468878014
29.990626822876123, 21545.0, 146.78555787270082
30.000626822876114, 19841.0, 140.86163423728976
30.01062682287612, 18580.0, 136.31214179228496
30.020626822876125, 18008.0, 134.19761547807025
30.030626822876116, 17535.0, 132.4235628579748
30.04062682287612, 16329.0, 127.7888884058391
30.050626822876126, 13582.0, 116.54612820681776
30.060626822876117, 11683.0, 108.09255293497328
30.07062682287612, 10445.0, 102.20567498920987
30.080626822876113, 10413.0, 102.04900783447137
30.090626822876118, 9948.0, 99.74467404327912
30.100626822876123, 8185.0, 90.47651629014017
30.110626822876114, 6968.0, 83.48053665376139
30.12062682287612, 5732.0, 75.71657678474378
30.130626822876124, 4578.0, 67.66830868286867
30.140626822876115, 3732.0, 61.09828148156051
30.15062682287612, 3158.0, 56.20498198558558
30.160626822876125, 2647.0, 51.45872132107443
30.170626822876116, 2318.0, 48.155996511338024
30.18062682287612, 1991.0, 44.63182720884279
30.190626822876112, 1596.0, 39.96248240537617
30.200626822876117, 1162.0, 34.10278580995987
30.210626822876122, 881.0, 29.698484809834994
30.220626822876113, 740.0, 27.2213151776324
30.23062682287612, 624.0, 25.0
30.240626822876123, 534.0, 23.130067012440755
30.250626822876114, 443.0, 21.071307505705477
30.26062682287612, 351.0, 18.76166303929372
30.270626822876125, 315.0, 17.776388834631177
30.280626822876116, 296.0, 17.233687939614086
30.29062682287612, 264.0, 16.278820596099706
30.300626822876126, 225.0, 15.033296378372908
30.310626822876117, 213.0, 14.628738838327793
