# DatScan(filename: C:\Users\dgpor\Dropbox\Python\ExamplePeaks\387294.dat, namespace: 170, associations: 12)
# 387294.dat
# eta,roi1_sum,error
33.7291, -2.0, 1.7320508075688772
33.7391, -2.0, 1.7320508075688772
33.7491, -2.0, 1.7320508075688772
33.7591, -2.0, 1.7320508075688772
33.7691, -1.0, 1.4142135623730951
33.7791, -2.0, 1.7320508075688772
33.7891, -2.0, 1.7320508075688772
33.7991, -2.0, 1.7320508075688772
33.8091, -2.0, 1.7320508075688772
33.8191, -2.0, 1.7320508075688772
33.8291, -2.0, 1.7320508075688772
33.8391, -2.0, 1.7320508075688772
33.8491, -2.0, 1.7320508075688772
33.8591, -2.0, 1.7320508075688772
33.8691, -1.0, 1.4142135623730951
33.8791, -2.0, 1.7320508075688772
33.8891, -2.0, 1.7320508075688772
33.8991, -2.0, 1.7320508075688772
33.9091, -2.0, 1.7320508075688772
33.9191, -1.0, 1.4142135623730951
33.9291, -1.0, 1.4142135623730951
33.9391, -2.0, 1.7320508075688772
33.9491, -2.0, 1.7320508075688772
33.9591, -2.0, 1.7320508075688772
33.9691, -2.0, 1.7320508075688772
33.9791, -2.0, 1.7320508075688772
33.9891, -2.0, 1.7320508075688772
33.9991, -2.0, 1.7320508075688772
34.0091, 2.0, 1.7320508075688772
34.0191, 5.0, 2.449489742783178
34.0291, -2.0, 1.7320508075688772
34.0391, 0.0, 1.0
34.0491, -2.0, 1.7320508075688772
34.0591, -1.0, 1.4142135623730951
34.0691, -1.0, 1.4142135623730951
34.0791, -1.0, 1.4142135623730951
34.0891, -1.0, 1.4142135623730951
34.0991, -2.0, 1.7320508075688772
34.1091, -2.0, 1.7320508075688772
34.1191, -2.0, 1.7320508075688772
34.1291, -2.0, 1.7320508075688772
34.1391, -2.0, 1.7320508075688772
34.1491, -2.0, 1.7320508075688772
34.1591, -2.0, 1.7320508075688772
34.1691, -2.0, 1.7320508075688772
34.1791, -2.0, 1.7320508075688772
34.1891, -1.0, 1.4142135623730951
34.1991, -2.0, 1.7320508075688772
34.2091, -1.0, 1.4142135623730951
34.2191, -2.0, 1.7320508075688772
34.2291, -2.0, 1.7320508075688772
34.2391, -2.0, 1.7320508075688772
34.2491, -2.0, 1.7320508075688772
34.2591, -1.0, 1.4142135623730951
34.2691, -1.0, 1.4142135623730951
34.2791, -2.0, 1.7320508075688772
34.2891, -2.0, 1.7320508075688772
34.2991, 0.0, 1.0
34.3091, -2.0, 1.7320508075688772
34.3191, -2.0, 1.7320508075688772
34.3291, -2.0, 1.7320508075688772
