# DatScan(filename: C:\Users\dgpor\Dropbox\Python\ExamplePeaks\393931.dat, namespace: 188, associations: 12)
# 393931.dat
# eta,roi1_sum,error
38.085, 0.0, 1.0
38.09, -2.0, 1.7320508075688772
38.095, -2.0, 1.7320508075688772
38.1, -1.0, 1.4142135623730951
38.105, -1.0, 1.4142135623730951
38.11, -1.0, 1.4142135623730951
38.115, -1.0, 1.4142135623730951
38.12, -2.0, 1.7320508075688772
38.125, -2.0, 1.7320508075688772
38.13, -2.0, 1.7320508075688772
38.135, -1.0, 1.4142135623730951
38.14, -2.0, 1.7320508075688772
38.145, -1.0, 1.4142135623730951
38.15, -2.0, 1.7320508075688772
38.155, -2.0, 1.7320508075688772
38.16, -2.0, 1.7320508075688772
38.165, -2.0, 1.7320508075688772
38.17, -1.0, 1.4142135623730951
38.175, -2.0, 1.7320508075688772
38.18, -2.0, 1.7320508075688772
38.185, -2.0, 1.7320508075688772
38.19, -1.0, 1.4142135623730951
38.195, -2.0, 1.7320508075688772
38.2, -1.0, 1.4142135623730951
38.205, -2.0, 1.7320508075688772
38.21, -2.0, 1.7320508075688772
38.215, -2.0, 1.7320508075688772
38.22, -2.0, 1.7320508075688772
38.225, -1.0, 1.4142135623730951
38.23, 0.0, 1.0
38.235, -1.0, 1.4142135623730951
38.24, 0.0, 1.0
38.245, -1.0, 1.4142135623730951
38.25, -1.0, 1.4142135623730951
38.255, -2.0, 1.7320508075688772
38.26, 0.0, 1.0
38.265, 5.0, 2.449489742783178
38.27, 1.0, 1.4142135623730951
38.275, 0.0, 1.0
38.28, 7.0, 2.8284271247461903
38.285, 7.0, 2.8284271247461903
38.29, 13.0, 3.7416573867739413
38.295, 26.0, 5.196152422706632
38.3, 73.0, 8.602325267042627
38.305, 54.0, 7.416198487095663
38.31, 19.0, 4.47213595499958
38.315, 8.0, 3.0
38.32, -1.0, 1.4142135623730951
38.325, 2.0, 1.7320508075688772
38.33, 1.0, 1.4142135623730951
38.335, 4.0, 2.23606797749979
38.34, 6.0, 2.6457513110645907
38.345, -2.0, 1.7320508075688772
38.35, 0.0, 1.0
38.355, 0.0, 1.0
38.36, 2.0, 1.7320508075688772
38.365, 0.0, 1.0
38.37, 0.0, 1.0
38.375, 1.0, 1.4142135623730951
38.38, -2.0, 1.7320508075688772
38.385, -1.0, 1.4142135623730951
38.39, -2.0, 1.7320508075688772
38.395, -2.0, 1.7320508075688772
38.4, -1.0, 1.4142135623730951
38.405, -1.0, 1.4142135623730951
38.41, -2.0, 1.7320508075688772
38.415, -1.0, 1.4142135623730951
38.42, -2.0, 1.7320508075688772
38.425, -2.0, 1.7320508075688772
38.43, -2.0, 1.7320508075688772
38.435, -1.0, 1.4142135623730951
38.44, -2.0, 1.7320508075688772
38.445, 0.0, 1.0
38.45, -2.0, 1.7320508075688772
38.455, -2.0, 1.7320508075688772
38.46, -1.0, 1.4142135623730951
38.465, -2.0, 1.7320508075688772
38.47, -2.0, 1.7320508075688772
38.475, -2.0, 1.7320508075688772
38.48, -2.0, 1.7320508075688772
38.485, -1.0, 1.4142135623730951
