# DatScan(filename: C:\Users\dgpor\Dropbox\Python\ExamplePeaks\393976.dat, namespace: 188, associations: 12)
# 393976.dat
# eta,roi1_sum,error
38.0851, -1.0, 1.4142135623730951
38.0901, -2.0, 1.7320508075688772
38.0951, -2.0, 1.7320508075688772
38.1001, -2.0, 1.7320508075688772
38.1051, -2.0, 1.7320508075688772
38.1101, -2.0, 1.7320508075688772
38.1151, -2.0, 1.7320508075688772
38.1201, -2.0, 1.7320508075688772
38.1251, -2.0, 1.7320508075688772
38.1301, -2.0, 1.7320508075688772
38.1351, -2.0, 1.7320508075688772
38.1401, -2.0, 1.7320508075688772
38.1451, -2.0, 1.7320508075688772
38.1501, -2.0, 1.7320508075688772
38.1551, -1.0, 1.4142135623730951
38.1601, 0.0, 1.0
38.1651, -1.0, 1.4142135623730951
38.1701, -2.0, 1.7320508075688772
38.1751, -2.0, 1.7320508075688772
38.1801, -2.0, 1.7320508075688772
38.1851, 0.0, 1.0
38.1901, -1.0, 1.4142135623730951
38.1951, -2.0, 1.7320508075688772
38.2001, -2.0, 1.7320508075688772
38.2051, -1.0, 1.4142135623730951
38.2101, -1.0, 1.4142135623730951
38.2151, -2.0, 1.7320508075688772
38.2201, -2.0, 1.7320508075688772
38.2251, -2.0, 1.7320508075688772
38.2301, -1.0, 1.4142135623730951
38.2351, -1.0, 1.4142135623730951
38.2401, 0.0, 1.0
38.2451, -2.0, 1.7320508075688772
38.2501, 0.0, 1.0
38.2551, 1.0, 1.4142135623730951
38.2601, -1.0, 1.4142135623730951
38.2651, 2.0, 1.7320508075688772
38.2701, -1.0, 1.4142135623730951
38.2751, -1.0, 1.4142135623730951
38.2801, -2.0, 1.7320508075688772
38.2851, 0.0, 1.0
38.2901, 4.0, 2.23606797749979
38.2951, 2.0, 1.7320508075688772
38.3001, 8.0, 3.0
38.3051, 27.0, 5.291502622129181
38.3101, 54.0, 7.416198487095663
38.3151, 19.0, 4.47213595499958
38.3201, 8.0, 3.0
38.3251, 1.0, 1.4142135623730951
38.3301, 2.0, 1.7320508075688772
38.3351, 0.0, 1.0
38.3401, 0.0, 1.0
38.3451, -1.0, 1.4142135623730951
38.3501, 0.0, 1.0
38.3551, -2.0, 1.7320508075688772
38.3601, -2.0, 1.7320508075688772
38.3651, 2.0, 1.7320508075688772
38.3701, -1.0, 1.4142135623730951
38.3751, -1.0, 1.4142135623730951
38.3801, -1.0, 1.4142135623730951
38.3851, -1.0, 1.4142135623730951
38.3901, -2.0, 1.7320508075688772
38.3951, -2.0, 1.7320508075688772
38.4001, -1.0, 1.4142135623730951
38.4051, -2.0, 1.7320508075688772
38.4101, -2.0, 1.7320508075688772
38.4151, -1.0, 1.4142135623730951
38.4201, -2.0, 1.7320508075688772
38.4251, -2.0, 1.7320508075688772
38.4301, -1.0, 1.4142135623730951
38.4351, 0.0, 1.0
38.4401, -1.0, 1.4142135623730951
38.4451, -2.0, 1.7320508075688772
38.4501, -2.0, 1.7320508075688772
38.4551, -1.0, 1.4142135623730951
38.4601, -2.0, 1.7320508075688772
38.4651, -2.0, 1.7320508075688772
38.4701, -2.0, 1.7320508075688772
38.4751, -2.0, 1.7320508075688772
38.4801, -1.0, 1.4142135623730951
38.4851, -1.0, 1.4142135623730951
