# DatScan(filename: C:\Users\dgpor\Dropbox\Python\ExamplePeaks\393793.dat, namespace: 188, associations: 12)
# 393793.dat
# eta,roi1_sum,error
28.0351, 578.0, 24.06241883103193
28.0401, 639.0, 25.298221281347036
28.0451, 731.0, 27.055498516937366
28.0501, 755.0, 27.49545416973504
28.0551, 850.0, 29.171904291629644
28.0601, 919.0, 30.331501776206203
28.0651, 966.0, 31.096623610932426
28.0701, 1082.0, 32.90896534380867
28.0751, 1137.0, 33.734255586866
28.0801, 1222.0, 34.97141690009142
28.0851, 1487.0, 38.57460304397182
28.0901, 1682.0, 41.02438299353203
28.0951, 1947.0, 44.13615298142782
28.1001, 2082.0, 45.639894828976104
28.1051, 2453.0, 49.53786430600334
28.1101, 2659.0, 51.57518783291051
28.1151, 2899.0, 53.85164807134504
28.1201, 3067.0, 55.389529696504916
28.1251, 3473.0, 58.9406481131655
28.1301, 3788.0, 61.554853586049575
28.1351, 4047.0, 63.623894882347464
28.1401, 4397.0, 66.31741852635702
28.1451, 5031.0, 70.9365914038728
28.1501, 5664.0, 75.26619427073486
28.1551, 6039.0, 77.7174369109018
28.1601, 6655.0, 81.58431221748455
28.1651, 7282.0, 85.34049449118513
28.1701, 8260.0, 90.89004345911603
28.1751, 9008.0, 94.91575211733824
28.1801, 10302.0, 101.5036945140422
28.1851, 11268.0, 106.155546251715
28.1901, 12926.0, 113.69696565871932
28.1951, 14753.0, 121.4660446379975
28.2001, 16735.0, 129.36769303036982
28.2051, 19088.0, 138.16294727603346
28.2101, 22175.0, 148.91608375189028
28.2151, 25178.0, 158.67892109539943
28.2201, 30237.0, 173.89077031286047
28.2251, 36772.0, 191.7628744048232
28.2301, 46025.0, 214.5367101453735
28.2351, 56290.0, 237.25724435725877
28.2401, 59236.0, 243.38652386687312
28.2451, 54453.0, 233.35380862544326
28.2501, 48902.0, 221.14022700540036
28.2551, 42349.0, 205.79115627256678
28.2601, 36132.0, 190.08682226814145
28.2651, 31401.0, 177.2060947033143
28.2701, 26649.0, 163.24827717314508
28.2751, 23320.0, 152.7121475194426
28.2801, 20740.0, 144.0173600646811
28.2851, 18361.0, 135.50645741070792
28.2901, 16547.0, 128.639029847088
28.2951, 15251.0, 123.49898785010345
28.3001, 14142.0, 118.9243456992722
28.3051, 12973.0, 113.9034679015525
28.3101, 12119.0, 110.09087155618307
28.3151, 11507.0, 107.27534665523109
28.3201, 10655.0, 103.22790320451152
28.3251, 10019.0, 100.09995004993759
28.3301, 9587.0, 97.91833331914918
28.3351, 9169.0, 95.7601169589929
28.3401, 8508.0, 92.24424101265076
28.3451, 8148.0, 90.27181176868004
28.3501, 7791.0, 88.27230596285564
28.3551, 7680.0, 87.64131445842195
28.3601, 7144.0, 84.52810183601665
28.3651, 6787.0, 82.38931969618392
28.3701, 6540.0, 80.876448982383
28.3751, 6079.0, 77.9743547584717
28.3801, 5876.0, 76.66159403508382
28.3851, 5729.0, 75.69676347110224
28.3901, 5370.0, 73.287106642301
28.3951, 5238.0, 72.38093671679029
28.4001, 5134.0, 71.65891430938652
28.4051, 4868.0, 69.77822009767804
28.4101, 4636.0, 68.09552114493287
28.4151, 4623.0, 68.0
28.4201, 4465.0, 66.82813778641449
28.4251, 4233.0, 65.06919393998976
28.4301, 4149.0, 64.42049363362563
28.4351, 4120.0, 64.19501538281614
