# DatScan(filename: C:\Users\dgpor\Dropbox\Python\ExamplePeaks\387270.dat, namespace: 170, associations: 12)
# 387270.dat
# eta,roi1_sum,error
33.7291, -1.0, 1.4142135623730951
33.7391, -2.0, 1.7320508075688772
33.7491, -2.0, 1.7320508075688772
33.7591, -2.0, 1.7320508075688772
33.7691, -2.0, 1.7320508075688772
33.7791, -2.0, 1.7320508075688772
33.7891, -1.0, 1.4142135623730951
33.7991, -2.0, 1.7320508075688772
33.8091, -2.0, 1.7320508075688772
33.8191, 0.0, 1.0
33.8291, -1.0, 1.4142135623730951
33.8391, -2.0, 1.7320508075688772
33.8491, -1.0, 1.4142135623730951
33.8591, 0.0, 1.0
33.8691, -1.0, 1.4142135623730951
33.8791, 0.0, 1.0
33.8891, -1.0, 1.4142135623730951
33.8991, -1.0, 1.4142135623730951
33.9091, 1.0, 1.4142135623730951
33.9191, 3.0, 2.0
33.9291, 2.0, 1.7320508075688772
33.9391, 4.0, 2.23606797749979
33.9491, 10.0, 3.3166247903554
33.9591, 19.0, 4.47213595499958
33.9691, 22.0, 4.795831523312719
33.9791, 47.0, 6.928203230275509
33.9891, 88.0, 9.433981132056603
33.9991, 168.0, 13.0
34.0091, 319.0, 17.88854381999832
34.0191, 744.0, 27.294688127912362
34.0291, 518.0, 22.781571499789035
34.0391, 252.0, 15.905973720586866
34.0491, 150.0, 12.288205727444508
34.0591, 62.0, 7.937253933193772
34.0691, 50.0, 7.14142842854285
34.0791, 24.0, 5.0
34.0891, 16.0, 4.123105625617661
34.0991, 16.0, 4.123105625617661
34.1091, 8.0, 3.0
34.1191, 3.0, 2.0
34.1291, 3.0, 2.0
34.1391, 7.0, 2.8284271247461903
34.1491, 1.0, 1.4142135623730951
34.1591, -2.0, 1.7320508075688772
34.1691, 1.0, 1.4142135623730951
34.1791, -2.0, 1.7320508075688772
34.1891, 1.0, 1.4142135623730951
34.1991, 2.0, 1.7320508075688772
34.2091, -2.0, 1.7320508075688772
34.2191, 2.0, 1.7320508075688772
34.2291, 1.0, 1.4142135623730951
34.2391, 1.0, 1.4142135623730951
34.2491, 0.0, 1.0
34.2591, 2.0, 1.7320508075688772
34.2691, -1.0, 1.4142135623730951
34.2791, -2.0, 1.7320508075688772
34.2891, -2.0, 1.7320508075688772
34.2991, -1.0, 1.4142135623730951
34.3091, -2.0, 1.7320508075688772
34.3191, -2.0, 1.7320508075688772
34.3291, -2.0, 1.7320508075688772
