# DatScan(filename: C:\Users\dgpor\Dropbox\Python\ExamplePeaks\393874.dat, namespace: 188, associations: 12)
# 393874.dat
# eta,roi1_sum,error
28.0351, 423.0, 20.591260281974
28.0401, 481.0, 21.95449840010015
28.0451, 670.0, 25.903667693977237
28.0501, 724.0, 26.92582403567252
28.0551, 493.0, 22.22611077089287
28.0601, 562.0, 23.727621035409346
28.0651, 810.0, 28.478061731796284
28.0701, 1152.0, 33.95585369269929
28.0751, 1381.0, 37.17526059088221
28.0801, 1681.0, 41.012193308819754
28.0851, 1906.0, 43.669211121796096
28.0901, 1894.0, 43.53159771935783
28.0951, 2045.0, 45.232731511594565
28.1001, 2277.0, 47.7283982551269
28.1051, 2403.0, 49.03060268852505
28.1101, 2617.0, 51.16639522186413
28.1151, 2943.0, 54.258639865002145
28.1201, 2799.0, 52.91502622129181
28.1251, 1888.0, 43.46262762420146
28.1301, 1491.0, 38.62641583165593
28.1351, 1363.0, 36.932370625238775
28.1401, 1844.0, 42.95346318982906
28.1451, 1894.0, 43.53159771935783
28.1501, 2130.0, 46.16275555033516
28.1551, 2219.0, 47.11687595755899
28.1601, 2428.0, 49.28488612140643
28.1651, 2543.0, 50.438080851673966
28.1701, 2893.0, 53.79591062525106
28.1751, 3113.0, 55.80322571321482
28.1801, 3369.0, 58.05170109479997
28.1851, 3635.0, 60.29925372672534
28.1901, 4154.0, 64.45928947793328
28.1951, 4886.0, 69.90708118638626
28.2001, 5306.0, 72.84915922644544
28.2051, 5958.0, 77.19455939378112
28.2101, 6634.0, 81.4555093287127
28.2151, 7412.0, 86.09878047916823
28.2201, 8259.0, 90.8845421400141
28.2251, 9725.0, 98.62048468751307
28.2301, 11601.0, 107.71258050942797
28.2351, 14156.0, 118.98319209031165
28.2401, 17260.0, 131.38112497615478
28.2451, 21759.0, 147.5127113166862
28.2501, 28179.0, 167.86899654194636
28.2551, 36090.0, 189.97631431312695
28.2601, 42542.0, 206.25954523366912
28.2651, 44175.0, 210.18087448671443
28.2701, 39304.0, 198.25488644671535
28.2751, 33529.0, 183.11198759229282
28.2801, 27335.0, 165.33602148352307
28.2851, 22342.0, 149.47575054168485
28.2901, 18749.0, 136.93063937629154
28.2951, 15691.0, 125.26771331831678
28.3001, 13783.0, 117.40528097151338
28.3051, 11355.0, 106.56453443805776
28.3101, 10402.0, 101.99509792141973
28.3151, 9488.0, 97.41149829460586
28.3201, 8313.0, 91.18113840043894
28.3251, 7647.0, 87.45284443630179
28.3301, 6863.0, 82.84926070883192
28.3351, 6358.0, 79.74333827975852
28.3401, 5838.0, 76.41334961902926
28.3451, 5385.0, 73.38937252763509
28.3501, 4821.0, 69.44062211702888
28.3551, 4498.0, 67.07458535093602
28.3601, 4075.0, 63.84355879804947
28.3651, 3950.0, 62.85698051927089
28.3701, 3611.0, 60.09991680526688
28.3751, 3367.0, 58.034472514187634
28.3801, 3085.0, 55.5517776493246
28.3851, 3004.0, 54.817880294662984
28.3901, 2910.0, 53.95368384086484
28.3951, 2746.0, 52.41183072551463
28.4001, 2527.0, 50.27922035990614
28.4051, 2457.0, 49.57822102496216
28.4101, 2567.0, 50.67543783727971
28.4151, 2483.0, 49.839743177508446
28.4201, 2306.0, 48.03123983409131
28.4251, 2210.0, 47.02127178203499
28.4301, 2159.0, 46.475800154489
28.4351, 1981.0, 44.51965857910413
