# DatScan(filename: C:\Users\dgpor\Dropbox\Python\ExamplePeaks\571649.dat, namespace: 197, associations: 12)
# 571649.dat
# l,roi1_sum,error
-0.017, 4897.0, 69.98571282769076
-0.016, 4991.0, 70.65408693062278
-0.015, 4857.0, 69.6993543729065
-0.014, 4942.0, 70.30647196382421
-0.013, 4918.0, 70.13558298039591
-0.012, 4970.0, 70.50531894828929
-0.011, 4932.0, 70.2353187506115
-0.01, 4937.0, 70.27090436304346
-0.0091, 4951.0, 70.37044834303673
-0.0081, 4673.0, 68.36665854054884
-0.0071, 4688.0, 68.47627326307996
-0.006, 4675.0, 68.38128398911503
-0.005, 4889.0, 69.92853494818836
-0.004, 4805.0, 69.32532004974806
-0.003, 4901.0, 70.01428425685718
-0.002, 4915.0, 70.11419257183242
-0.001, 5050.0, 71.07038764492565
-0.0, 4830.0, 69.50539547402057
0.001, 4994.0, 70.67531393633848
0.0019, 5143.0, 71.72168430816443
0.0029, 5106.0, 71.46327728281149
0.0039, 4922.0, 70.16409338115899
0.0049, 4978.0, 70.5620294492725
0.006, 4866.0, 69.76388750635962
0.007, 4856.0, 69.6921803361037
0.008, 4883.0, 69.88562083862459
0.009, 4785.0, 69.18092222571191
0.01, 4892.0, 69.94998213009065
0.011, 4774.0, 69.10137480542626
0.012, 4906.0, 70.04998215560087
0.013, 4894.0, 69.96427659884722
0.014, 4969.0, 70.49822692805827
0.015, 4924.0, 70.178344238091
0.0159, 4793.0, 69.23871749245504
0.0169, 4911.0, 70.08566187174092
0.018, 4835.0, 69.54135460285484
0.019, 4860.0, 69.72087205421343
0.02, 4920.0, 70.14983962918234
0.021, 4907.0, 70.05711955254797
0.022, 4845.0, 69.61321713582845
0.023, 5053.0, 71.09149034870488
0.024, 4907.0, 70.05711955254797
0.025, 4900.0, 70.00714249274856
0.026, 4812.0, 69.3757882838098
0.027, 4751.0, 68.93475175845634
0.028, 4807.0, 69.33974329343886
0.029, 4813.0, 69.38299503480663
0.03, 4720.0, 68.70953354520753
0.031, 4829.0, 69.49820141557622
0.032, 4905.0, 70.04284403134984
0.033, 4974.0, 70.53367989832942
0.034, 4810.0, 69.36137253543934
0.035, 4822.0, 69.44782214007866
0.036, 4766.0, 69.04346457123947
0.037, 4725.0, 68.74590896918885
0.038, 4822.0, 69.44782214007866
0.039, 4773.0, 69.0941386804988
0.04, 4804.0, 69.31810730249349
0.041, 4953.0, 70.3846574190711
0.042, 4747.0, 68.90573270780887
0.043, 4712.0, 68.65129277733959
