# DatScan(filename: C:\Users\dgpor\Dropbox\Python\ExamplePeaks\387282.dat, namespace: 170, associations: 12)
# 387282.dat
# eta,roi1_sum,error
33.729, 0.0, 1.0
33.739, -2.0, 1.7320508075688772
33.749, -2.0, 1.7320508075688772
33.759, -2.0, 1.7320508075688772
33.769, -2.0, 1.7320508075688772
33.779, -2.0, 1.7320508075688772
33.789, -2.0, 1.7320508075688772
33.799, -2.0, 1.7320508075688772
33.809, -2.0, 1.7320508075688772
33.819, 0.0, 1.0
33.829, -2.0, 1.7320508075688772
33.839, -1.0, 1.4142135623730951
33.849, -2.0, 1.7320508075688772
33.859, -2.0, 1.7320508075688772
33.869, 0.0, 1.0
33.879, -2.0, 1.7320508075688772
33.889, -1.0, 1.4142135623730951
33.899, -2.0, 1.7320508075688772
33.909, -1.0, 1.4142135623730951
33.919, -2.0, 1.7320508075688772
33.929, -2.0, 1.7320508075688772
33.939, -1.0, 1.4142135623730951
33.949, -2.0, 1.7320508075688772
33.959, -1.0, 1.4142135623730951
33.969, 0.0, 1.0
33.979, 1.0, 1.4142135623730951
33.989, -1.0, 1.4142135623730951
33.999, -1.0, 1.4142135623730951
34.009, 6.0, 2.6457513110645907
34.019, 11.0, 3.4641016151377544
34.029, 2.0, 1.7320508075688772
34.039, 0.0, 1.0
34.049, 1.0, 1.4142135623730951
34.059, 1.0, 1.4142135623730951
34.069, 0.0, 1.0
34.079, 0.0, 1.0
34.089, -2.0, 1.7320508075688772
34.099, -2.0, 1.7320508075688772
34.109, 0.0, 1.0
34.119, -1.0, 1.4142135623730951
34.129, -1.0, 1.4142135623730951
34.139, -1.0, 1.4142135623730951
34.149, -1.0, 1.4142135623730951
34.159, -1.0, 1.4142135623730951
34.169, -2.0, 1.7320508075688772
34.179, -1.0, 1.4142135623730951
34.189, 0.0, 1.0
34.199, -2.0, 1.7320508075688772
34.209, -2.0, 1.7320508075688772
34.219, -2.0, 1.7320508075688772
34.229, -1.0, 1.4142135623730951
34.239, -2.0, 1.7320508075688772
34.249, 1.0, 1.4142135623730951
34.259, -1.0, 1.4142135623730951
34.269, -2.0, 1.7320508075688772
34.279, -2.0, 1.7320508075688772
34.289, -2.0, 1.7320508075688772
34.299, -1.0, 1.4142135623730951
34.309, -2.0, 1.7320508075688772
34.319, -2.0, 1.7320508075688772
34.329, -1.0, 1.4142135623730951
